time,heatCapacitor_T,switch_Controll
0.0,20.0,0.0
0.02,20.199314260785002,0.0
0.04,20.39806509579887,0.0
0.06,20.59644772272054,0.0
0.08,20.79441326347967,0.0
0.1,20.9917688248363,0.0
0.12,21.188637089285862,0.0
0.14,21.385018056828415,0.0
0.16,21.580851744456083,0.0
0.18,21.776150281448622,0.0
0.2,21.970925675740318,0.0
0.22,22.165170379991764,0.0
0.24,22.3588740137713,0.0
0.26,22.552047875109793,0.0
0.28,22.74469196400719,0.0
0.3,22.936806280463486,0.0
0.32,23.128390824478686,0.0
0.34,23.319465552777103,0.0
0.36,23.51004660073329,0.0
0.38,23.70010576020951,0.0
0.4,23.88964303120588,0.0
0.42,24.07865841372228,0.0
0.44,24.26715190775883,0.0
0.46,24.455123513315414,0.0
0.48,24.64257323039203,0.0
0.5,24.829501058988797,0.0
0.52,25.015906999105596,0.0
0.54,25.201791050742543,0.0
0.56,25.387153213899524,0.0
0.58,25.57199348857654,0.0
0.6,25.756414081736125,0.0
0.62,25.940331922560745,0.0
0.626235,25.997564829844293,0.0
0.626235,25.997564829844293,0.0
0.64,25.991913699022348,1.0
0.66,25.97998544346109,1.0
0.68,25.968073039983153,1.0
0.7,25.956176488588596,1.0
0.72,25.944295789277305,1.0
0.74,25.932430942049393,1.0
0.76,25.920581946904804,1.0
0.78,25.908774286461437,1.0
0.8,25.896987814008924,1.0
0.82,25.885222254057396,1.0
0.84,25.87347760660697,1.0
0.86,25.861753871657584,1.0
0.88,25.85005104920924,1.0
0.9,25.838369139262,1.0
0.92,25.8267081418158,1.0
0.94,25.815068056870643,1.0
0.96,25.80345741956006,1.0
0.98,25.791871211802686,1.0
1.0,25.780307226687626,1.0
1.02,25.768765464214937,1.0
1.04,25.757245924384563,1.0
1.06,25.745748607196617,1.0
1.08,25.734273512650987,1.0
1.1,25.72282064074767,1.0
1.12,25.711389991486726,1.0
1.14,25.699981564868153,1.0
1.16,25.688595360891952,1.0
1.18,25.677231379558066,1.0
1.2,25.66588962086655,1.0
1.22,25.654570084817408,1.0
1.24,25.64327277141058,1.0
1.26,25.631997680646123,1.0
1.28,25.620741475058367,1.0
1.3,25.609507109521928,1.0
1.32,25.598294738266816,1.0
1.34,25.587104361293143,1.0
1.36,25.575935978600796,1.0
1.38,25.56478959018989,1.0
1.4,25.553665196060365,1.0
1.42,25.542562796212223,1.0
1.44,25.531482390645465,1.0
1.46,25.52042397936009,1.0
1.48,25.509387562356096,1.0
1.5,25.498373139633486,1.0
1.52,25.48738071119226,1.0
1.54,25.47641027703247,1.0
1.56,25.46546183715401,1.0
1.58,25.454535391556988,1.0
