time,Noise,Noise_Filt,Noise_Filt_Sat,Sine,Sine_Filt,Sine_Filt_Quantized
0.0,0.5041934131690301,0.06302417664612883,0.06302417664612883,0.0,0.0,0.0
0.001,3.375248563119714,0.48177903820378787,0.48177903820378787,0.0019999996666666834,0.0,0.0
0.002,-1.2125881533069673,0.3061165671302274,0.3061165671302274,0.0039999973333338665,0.0,0.0
0.003,1.817724349215745,0.5180262824256843,0.5,0.00599999100000405,1.799999700000015e-8,0.0
0.004,0.2774624974715799,0.5268077804883475,0.5,0.007999978666683734,7.19243700126051e-8,0.0
0.005,-0.5485595478877823,0.4318974479779572,0.4318974479779572,0.009999958333385416,1.7962201765862055e-7,0.0
0.006,-1.3007991262323269,0.247702684800018,0.247702684800018,0.0119999280001296,3.588664958653463e-7,0.0
0.007,0.19489999778399403,0.2596800502830164,0.2596800502830164,0.013999885666946783,6.273561556659135e-7,0.0
0.008,0.8161237523903019,0.3487115168176533,0.3487115168176533,0.015999829333879466,1.0027142810980222e-6,0.0
0.009,0.3565463124153498,0.37584423002868933,0.37584423002868933,0.017999757000984152,1.5024892272004357e-6,0.0
0.01,0.7228365103317613,0.4474065823187251,0.4474065823187251,0.01999966666833333,2.1441545581056045e-6,0.0
0.011,0.7023846678748148,0.5128343366871407,0.5,0.02199955633601751,2.945109185226784e-6,0.0
0.012,-0.19603711314821,0.46268798070925743,0.46268798070925743,0.023999424004147188,3.922677505538032e-6,0.0
0.013,1.7724188912693613,0.6611059430824651,0.5,0.02599926767285486,5.0941095399454625e-6,0.0
0.014,-0.7311243417094261,0.5366601032146634,0.5,0.027999085342297024,6.4765810717481575e-6,0.0
0.015,-3.0020104558731693,0.13457579106978423,0.13457579106978423,0.02999887501265618,8.087193785187116e-6,0.0
0.016,-2.1872023009739276,-0.1455532861054465,-0.1455532861054465,0.03199863468414283,9.942975404080657e-6,0.0
0.017,2.5629814192874125,0.18209705561075262,0.18209705561075262,0.03399836235699746,1.2060879830544684e-5,0.0
0.018,-0.6076773042930079,0.09703253979358895,0.09703253979358895,0.03599805603149256,1.4457787283796212e-5,0.0
0.019,-1.3575245424781799,-0.07750965500586293,-0.07750965500586293,0.03799771370793463,1.7150504439038585e-5,0.0
0.02,-1.1859152420631003,-0.22187357751345727,-0.22187357751345727,0.03999733338666616,2.0155764566426818e-5,0.0
0.021,-1.055455329432567,-0.34271181481685536,-0.34271181481685536,0.04199691306806764,2.3490227670111483e-5,0.0
0.022,-0.6829272045793019,-0.41094212464842544,-0.41094212464842544,0.04399645075255954,2.717048062735957e-5,0.0
0.023,-0.6950753358268852,-0.4772794353943649,-0.4772794353943649,0.04599594444060436,3.121303732775079e-5,0.0
0.024,-0.3023990235607272,-0.4912153415697376,-0.4912153415697376,0.04799539213270858,3.563433881244776e-5,0.0
0.025,2.1085786272757674,-0.20308224608177938,-0.20308224608177938,0.049994791829424665,4.045075341353849e-5,0.0
0.026,0.10403944336369206,-0.17992320335722886,-0.17992320335722886,0.05199414153135309,4.56785768934497e-5,0.0
0.027,1.8088512933941203,0.055179368484897795,0.055179368484897795,0.0539934392391443,5.133403258442939e-5,0.0
0.028,1.0888472004717284,0.18852630011961913,0.18852630011961913,0.05599268295350078,5.74332715280971e-5,0.0
0.029,0.47484693304977277,0.23845585174485984,0.23845585174485984,0.057991870675178976,6.399237261506045e-5,0.0
0.03,-0.8291790238251707,0.12288568117947041,0.12288568117947041,0.05999100040499132,7.10273427245963e-5,0.0
0.031,-0.6500969468938629,0.035479278758764055,0.035479278758764055,0.061990070143808265,7.855411686439518e-5,0.0
0.032,-0.3324272248031437,-0.00784808827956715,-0.00784808827956715,0.06398907789256024,8.65885583103673e-5,0.0
0.033,-1.7816064915485508,-0.23015649530915783,-0.23015649530915783,0.06598802165223965,9.514645874650882e-5,0.0
0.034,3.035135497050895,0.16074326658766291,0.16074326658766291,0.0679868994239029,0.00010424353840482681,0.0
0.035,1.3977045896671243,0.32741917696667067,0.32741917696667067,0.06998570920867239,0.0001138954462053213,0.0
0.036,-0.958544633028249,0.1912301389898058,0.1912301389898058,0.07198444900773851,0.0001241177598960232,0.0
0.037,-1.3822317199037184,0.00888966705235028,0.00888966705235028,0.07398311682236161,0.00013492598619308633,0.0
0.038,-0.21434791627189853,-0.018348305834254564,-0.018348305834254564,0.07598171065387406,0.0001463355609209324,0.0
0.039,1.066785034460885,0.11591723876506921,0.11591723876506921,0.07798022850368219,0.00015836184915244704,0.0
0.04,-0.3813471575540378,0.062452982132561036,0.062452982132561036,0.07997866837326832,0.0001710201453492259,0.0
0.041,-1.820831527820947,-0.16827360795168556,-0.16827360795168556,0.08197702826419274,0.00018432567350186902,0.0
0.042,-1.290812407280338,-0.32121147846414344,-0.32121147846414344,0.08397530617809572,0.00019829358727032234,0.0
0.043,-0.03969597204686604,-0.31011290104679456,-0.31011290104679456,0.08597350011669953,0.00021293897012426437,0.0
0.044,1.6441850515728809,-0.08908412454784465,-0.08908412454784465,0.08797160808181037,0.00022827683548353727,0.0
0.045,-0.06998273220861652,-0.09337775984652949,-0.09337775984652949,0.08996962807532047,0.0002443221268586204,0.0
0.046,1.3042489233408796,0.07432224356340722,0.07432224356340722,0.09196755809920999,0.0002610897179911451,0.0
0.047,-0.7388998354604603,-0.021756348047320684,-0.021756348047320684,0.09396539615554908,0.0002785944129944494,0.0
0.048,-0.03742900659218859,-0.025347156468978227,-0.025347156468978227,0.09596314024649985,0.00029685094649417083,0.0
0.049,0.19692873210098139,0.0005362928670934325,0.0005362928670934325,0.09796078837431836,0.00031587398376887636,0.0
0.05,-2.318100613151649,-0.28925309842021685,-0.28925309842021685,0.09995833854135666,0.00033567812089072815,0.0
0.051,-3.2117797286604435,-0.6762629095817618,-0.5,0.10195578875006475,0.00035627788486618315,0.0
0.052,0.5652172148430097,-0.5717976122472973,-0.5,0.1039531370029926,0.00037768773377672545,0.0
0.053,-0.21674388572880707,-0.5703007173510334,-0.5,0.10595038130279208,0.00039992205691963023,0.0
0.054,1.6501507776150897,-0.33551683428159507,-0.33551683428159507,0.1079475196522191,0.00042299517494875775,0.0
0.055,-0.09103312136170805,-0.3301201327377288,-0.3301201327377288,0.10994455005413546,0.0004469213400153758,0.0
0.056,-0.5610767784800793,-0.3837487234108522,-0.3837487234108522,0.11194147051151095,0.00047171473590900943,0.0
0.057,-0.7565317469639312,-0.45912775561080116,-0.45912775561080116,0.11393827902742523,0.000497389478198317,0.0
0.058,0.9217853065580098,-0.3209482045105097,-0.3209482045105097,0.11593497360506999,0.0005239596143719898,0.0
0.059,0.7093788217464685,-0.2162284415666757,-0.2162284415666757,0.11793155224775081,0.0005514391239796762,0.0
0.06,1.21611081061038,-0.053403168162043935,-0.053403168162043935,0.11992801295888919,0.0005798419187729267,0.0
0.061,2.7685515229198123,0.2953359306110348,0.2953359306110348,0.12192435374202462,0.0006091818428461594,0.0
0.062,0.8624128612209957,0.38837074173310754,0.38837074173310754,0.12392057260081647,0.0006394726727776456,0.0
0.063,-2.4204368169041746,0.06639760253343008,0.06639760253343008,0.12591666753904604,0.0006707281177705122,0.0
0.064,0.18909065601447725,0.08671405440856823,0.08671405440856823,0.12791263656061858,0.000702961819793761,0.0
0.065,2.121579323936022,0.34757576718014327,0.34757576718014327,0.1299084776695652,0.0007361873537233037,0.0
0.066,-1.4094875196718628,0.15401103886215295,0.15401103886215295,0.13190418887004499,0.0007704182274830097,0.0
0.067,-0.034304036408597874,0.14202248236797055,0.14202248236797055,0.1338997681663469,0.0008056678821857676,0.0
0.068,-2.1190074344984633,-0.1299545710627359,-0.1299545710627359,0.1358952135628918,0.000841949692274557,0.0
0.069,0.5308829165014024,-0.057096477946923796,-0.057096477946923796,0.13789052306423447,0.0008792769656635308,0.0
0.07,-0.681545424401233,-0.13943483209973184,-0.13943483209973184,0.13988569467506554,0.0009176629438791065,0.0
0.071,-2.2015568307092876,-0.4076576943334065,-0.4076576943334065,0.1418807264002136,0.0009571208022010639,0.0
0.072,0.7918986147059918,-0.28828748277848704,-0.28828748277848704,0.1438756162446471,0.0009976636498036499,0.0
0.073,3.011598133906685,0.10257665809877414,0.10257665809877414,0.14587036221347632,0.0010393045298966869,0.0
0.074,0.9109835113444869,0.21132076411189638,0.21132076411189638,0.14786496231195548,0.0010820564198666869,0.0
0.075,-0.2476521453662583,0.16979820773551924,0.16979820773551924,0.14985941454548468,0.0011259322314179651,0.0
0.076,4.37258250284719,0.7078811102046423,0.5,0.1518537169196118,0.0011709448107137567,0.0
0.077,-0.946221987954215,0.5542093062001328,0.5,0.15384786744003467,0.0012171069385173328,0.0
0.078,1.5738009108735544,0.7232239547493202,0.5,0.15584186411260292,0.0012644313303331136,0.0
0.079,1.08286586501763,0.822420990139058,0.5,0.15783570494332005,0.001312930636547782,0.0
0.08,1.0709256519130226,0.915165647121233,0.5,0.1598293879383454,0.0013626174425713893,0.0
0.081,0.11082979622795178,0.8832610892936654,0.5,0.1618229111039961,0.0014135042689784583,0.0
0.082,-1.9172412621187338,0.5994428770641397,0.5,0.16381627244674918,0.0014656035716490796,0.0
0.083,0.9560671782126314,0.6889791304875117,0.5,0.16580946997324347,0.0015189277419099994,0.0
0.084,0.3254004121153505,0.6952052254775549,0.5,0.16780250169028163,0.001573489106675699,0.0
